央视地方,#genre#
全球大片,http://8.146.199.204:886/2024/bestv.php?id=qqdp
热门剧场,http://8.146.199.204:886/2024/bestv.php?id=rmjc
青春动漫,http://8.146.199.204:886/2024/bestv.php?id=qcdm
宝宝动画,http://8.146.199.204:886/2024/bestv.php?id=bbdh
电竞天堂,http://8.146.199.204:886/2024/bestv.php?id=djtt
热门综艺,http://8.146.199.204:886/2024/bestv.php?id=rmzy
健康养生,http://8.146.199.204:886/2024/bestv.php?id=jkys
戏曲精选,http://8.146.199.204:886/2024/bestv.php?id=xqjx
百变课堂,http://8.146.199.204:886/2024/bestv.php?id=bbkt
看天下精选,http://8.146.199.204:886/2024/bestv.php?id=ktxjx
东方影视,http://8.146.199.204:886/2024/bestv.php?id=dfys
纪实人文,http://8.146.199.204:886/2024/bestv.php?id=jsrw
金鹰纪实,http://8.146.199.204:886/2024/bestv.php?id=jyjs
北京纪实科教,http://8.146.199.204:886/2024/bestv.php?id=bjjskj
五星体育,http://8.146.199.204:886/2024/bestv.php?id=wxty
第一财经,http://8.146.199.204:886/2024/bestv.php?id=dycj
海峡卫视,http://8.146.199.204:886/2024/bestv.php?id=hxws
东方购物,http://8.146.199.204:886/2024/bestv.php?id=dfgw
福建电视剧,http://8.146.199.204:886/2024/bestv.php?id=fjdsj
福建教育,http://8.146.199.204:886/2024/bestv.php?id=fjjy
福建经济,http://8.146.199.204:886/2024/bestv.php?id=fjjj
福建旅游,http://8.146.199.204:886/2024/bestv.php?id=fjly
福建少儿,http://8.146.199.204:886/2024/bestv.php?id=fjse
福建文体,http://8.146.199.204:886/2024/bestv.php?id=fjwt
福建乡村振兴公共,http://8.146.199.204:886/2024/bestv.php?id=fjgg
福建新闻,http://8.146.199.204:886/2024/bestv.php?id=fjxw
福建综合,http://8.146.199.204:886/2024/bestv.php?id=fjzh
浦东电视台,http://8.146.199.204:886/2024/bestv.php?id=pudong
上海ICS,http://8.146.199.204:886/2024/bestv.php?id=shics
上海都市,http://8.146.199.204:886/2024/bestv.php?id=shds
上海教育,http://8.146.199.204:886/2024/bestv.php?id=shjy
上海新闻综合,http://8.146.199.204:886/2024/bestv.php?id=shxwzh
西藏藏语,http://8.146.199.204:886/2024/bestv.php?id=xzzy
央视频道,#genre#
CCTV1,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.101.78.50:9901/tsfile/live/0003_1.m3u8
CCTV4,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
CCTV5,http://112.101.78.50:9901/tsfile/live/0005_1.m3u8
CCTV6,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV9,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV10,http://112.101.78.50:9901/tsfile/live/0010_1.m3u8
CCTV14,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CCTV13,http://112.101.78.50:9901/tsfile/live/0013_1.m3u8
CCTV1,http://cdn.u55u.cn/migu.php?id=cctv1
CCTV2,http://cdn.u55u.cn/migu.php?id=cctv2
CCTV3,http://cdn.u55u.cn/migu.php?id=cctv3
CCTV4,http://cdn.u55u.cn/migu.php?id=cctv4
CCTV5,http://cdn.u55u.cn/migu.php?id=cctv5
CCTV5+,http://cdn.u55u.cn/migu.php?id=cctv5p
CCTV6,http://cdn.u55u.cn/migu.php?id=cctv6
CCTV7,http://cdn.u55u.cn/migu.php?id=cctv7
CCTV8,http://cdn.u55u.cn/migu.php?id=cctv8
CCTV9,http://cdn.u55u.cn/migu.php?id=cctv9
CCTV10,http://cdn.u55u.cn/migu.php?id=cctv10
CCTV12,http://cdn.u55u.cn/migu.php?id=cctv12
CCTV13,http://cdn.u55u.cn/migu.php?id=cctv13
CCTV14,http://cdn.u55u.cn/migu.php?id=cctv14
